x,celltype
23:69:48:02,FC_ExNeu_L23
23:69:84:05,HC_ExNeu_Subiculum
23:70:07:02,FC_ExNeu_PT
23:70:17:01,FC_ExNeu_L23
23:70:63:01,FC_ExNeu_L4
23:70:80:06,BR_NonNeu_Astro_Myoc
23:71:43:05,HC_ExNeu_DG
23:73:56:04,HC_ExNeu_Subiculum
23:73:58:01,FC_ExNeu_L5
23:74:06:01,FC_ExNeu_L4
23:74:68:01,FC_ExNeu_L5
23:77:51:03,FC_ExNeu_L23
23:77:77:01,FC_ExNeu_L5
23:78:28:02,BR_NonNeu_OPC
23:79:30:01,FC_ExNeu_L23
23:80:10:01,FC_ExNeu_L23
